obs_self_x,obs_self_y,obs_self_hp,obs_self_isDead,obs_self_hasSpike,obs_paranoia_charges,obs_recon_charges,obs_spike_state,obs_spike_isPlanted,obs_spike_relPlanted_x,obs_spike_relPlanted_y,obs_spike_isDropped,obs_spike_relDropped_x,obs_spike_relDropped_y,obs_agent0_relation,obs_agent0_rel_x,obs_agent0_rel_y,obs_agent0_hp,obs_agent0_isDead,obs_agent1_relation,obs_agent1_rel_x,obs_agent1_rel_y,obs_agent1_hp,obs_agent1_isDead,obs_agent2_relation,obs_agent2_rel_x,obs_agent2_rel_y,obs_agent2_hp,obs_agent2_isDead,obs_agent3_relation,obs_agent3_rel_x,obs_agent3_rel_y,obs_agent3_hp,obs_agent3_isDead,act_type,act_grid_x,act_grid_y,act_ability_target_x,act_ability_target_y
-14.5071,-0.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0124,3.0,1.5,0.0,-1.0,32.614,-9.0,1.5,0.0,1.0,-1.9929,6.0,1.5,0.0,1.0,18.0071,6.0077,1.5,0.0,Stay,0,0,0,0
16.5073,2.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.9927,6.0,1.5,0.0,-1.0,-19.0073,-13.0,1.5,0.0,1.0,-13.0073,6.0034,1.5,0.0,1.0,-36.5612,2.0,1.5,0.0,Stay,0,0,0,0
16.5409,5.5,1.5,0.0,0.0,0.0,1.0,3.0,1.0,1.4591,-3.5,0.0,0.0,0.0,1.0,1.9591,1.0,0.0,1.0,-1.0,1.9591,-3.0,-0.8,1.0,1.0,-8.0,-15.0,1.5,0.0,1.0,1.9557,-10.0,0.7,0.0,Stay,0,0,0,0
-18.5,-2.5058,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,16.0038,-5.9942,0.0,1.0,-1.0,19.0,9.0058,1.5,0.0,1.0,35.0016,5.0058,1.5,0.0,-1.0,20.0,2.9996,1.5,0.0,Move,-19,-2,0,0
-17.508,-3.5,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.9981,6.0,1.5,0.0,-1.0,15.008,-7.0,1.5,0.0,1.0,24.4957,9.0,1.5,0.0,1.0,-0.992,0.0038,1.5,0.0,Stay,0,0,0,0
-9.5,-4.5016,0.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,-3.5,-1.4984,1.0,28.0,7.0016,1.5,0.0,-1.0,-3.0,-1.0806,0.0,1.0,1.0,-3.0,-4.9907,-0.4,1.0,1.0,19.0,-0.9962,1.5,0.0,Move,-10,-6,0,0
-15.5,-0.4989,1.5,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,33.5,2.4989,1.0,32.0,2.9989,0.0,1.0,-1.0,34.0,2.9989,-0.1,1.0,1.0,-3.0,-3.9967,1.5,0.0,1.0,19.0,8.0015,1.5,0.0,Stay,0,0,0,0
-3.5,-10.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,22.99,13.0,1.5,0.0,1.0,1.0,0.0,1.5,0.0,-1.0,11.9926,16.0,1.5,0.0,-1.0,-15.0,7.0038,1.5,0.0,Stay,0,0,0,0
18.5,9.508,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.992,1.5,0.0,-1.0,-21.0,-20.008,1.5,0.0,1.0,-15.0001,0.0985,1.5,0.0,1.0,-34.9931,-4.008,1.5,0.0,Stay,0,0,0,0
18.5084,8.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-20.0084,-19.0,1.5,0.0,-1.0,-18.0084,-4.0063,1.5,0.0,1.0,-36.0083,-3.9921,1.5,0.0,1.0,-34.0084,-9.0,1.5,0.0,Stay,0,0,0,0
11.4926,3.5,1.5,0.0,0.0,0.0,1.0,3.0,1.0,6.5074,-1.5,0.0,0.0,0.0,1.0,5.0074,-1.0,0.0,1.0,-1.0,7.0074,-1.0,-0.1,1.0,1.0,-19.5109,-13.0,1.5,0.0,1.0,-9.9926,2.0,1.5,0.0,Paranoia,0,0,8,2
